,Brands,Title,price,Main_Price,Percent_Price_Reduction_in_%,Ratings,Number_of_Reviewer
1703,Infinix,Infinix Hot 10i - ,66400,276780,69,3.5,5
1704,Nokia,Nokia 3310(2017) D,18999,39990,52,3.5,5
1705,Bontel,Bontel L1-Super Sl,10500,13398,22,3.5,5
1706,Samsung,Samsung Galaxy A12,86000,90000,4,4,5
1707,Nokia,Nokia New C2-05 2G,10500,20000,48,3.5,5
1708,Tecno,Tecno POP 5 Go (BD,37400,41000,9,4.7,5
1709,Bontel,Bontel Q8-3.5inch ,11200,18500,39,3.7,5
1710,Oppo,"Oppo A16K Blue ,6.",86900,99900,13,3.7,5
1711,Apple,Apple Refurbished ,61000,100000,39,5,5
1712,Itel,"Itel A58 6.6"" HD+ ",39990,43000,7,5,5
1713,Siccoo,Siccoo M2 Plus - C,9500,11000,14,5,5
1714,Itel,Itel 2160 Wireless,6200,70001,11,5,5
1715,Itel,Itel A14  Android ,20990,24990,16,3.7,88
1716,Samsung,Samsung Galaxy A22,136000,24990,16,5,5
1717,Samsung,Samsung Galaxy Not,140000,290000,52,5,5
1718,Nokia,Nokia 5310 XpressM,22999,25000,8,4.5,10
1719,Samsung,Samsung Galaxy S8 ,120000,190000,37,4.5,10
1720,Imose,Imose Waka Is,7500,190000,37,4.5,10
1721,Imose,Imose Sabi II Dual,8500,190000,37,4.5,10
1722,Imose,Imose Sabi 1 Dual ,5500,190000,37,4.5,10
1723,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
1724,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
1725,Imose,Imose Padi+,7500,12398,15,5,5
1726,Huawei,Huawei GSM SIM Car,12000,20000,40,5,5
1727,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
1728,Tecno,Tecno CAMON 18 (CH,106000,13700,20,3.9,39
1729,Itel,Itel 2173- Faceboo,6700,90002,26,3.4,21
1730,Itel,"Itel 6350 2.8"" Scr",13990,16000,13,3.4,21
1731,Nokia,"Nokia 105,Dual Sim",9000,11000,18,3.4,21
1732,Itel,"Itel P15 5.0"" HD S",30600,30790,1,4.4,28
1733,Apple,Apple Refurbished ,54000,90000,40,4.4,28
1734,Apple,Apple IPhone 12 Pr,549000,650000,16,4.4,28
1735,Nokia,Nokia XpressMusic ,9200,19200,52,4.7,5
1736,Tecno,"Tecno T528, 50days",13300,15000,11,5,5
1737,Apple,Apple Refurbished ,73000,90000,19,5,5
1738,Samsung,Samsung Galaxy S9 ,115999,200000,42,4,5
1739,Gionee,"Gionee M12, 6.55-I",72890,95990,24,4,5
1740,Tecno,Tecno Spark 7p (KF,76990,79990,4,4.5,36
1741,Nokia,Nokia Phone 6303 C,1080010900,15000,28,3.5,5
1742,Infinix,Infinix Hot 10 Pla,75990,79750,5,4.8,10
1743,Itel,"Itel 5626 - 2.8"" S",11350,12000,5,4.8,5
1744,Tecno,Tecno T528 - Featu,13099,13500,3,4,19
1745,Nokia,"Nokia 5310, MicroS",21999,25000,12,4.3,5
1746,Nokia,Nokia 2700 Classic,7200,85001,15,4.3,5
1747,Infinix,Infinix Hot 11 Pla,77300,85000,9,4.3,5
1748,Nokia,Nokia E63 2.3-inch,11600,22549,49,3.4,13
1749,Apple,Apple Refurbished ,115000,190000,39,3.4,13
1750,Nokia,Nokia 215 4G Dual ,8600,24000,64,2.3,5
1751,Itel,Itel It2173 Wirele,6800,70003,3,3,5
1752,Infinix,Infinix Hot 11 Pla,83999,120000,30,3,5
1753,Nokia,Nokia C2-05 GSM Ch,10500,20000,48,3,5
1754,Itel,Itel It2160 Wirele,7100,80001,11,3.5,5
1755,Tecno,Tecno POP 5 Go (BD,27890,62890,56,3.5,5
1756,Tecno,"Tecno T529,  2.8 L",12199,14000,13,5,5
1757,Nokia,Nokia C5-03 3.2-in,12800,22500,43,5,5
1758,Tecno,"Tecno Pop5(BD2p), ",46199,60000,23,5,5
